,学校名,考试方式,院系所,专业,研究方向,学习方式,拟招生人数,政治,外语,业务课一,业务课二
1476,,统考,(013)自动化学院,(085400)(专业学位)电子信息,(02)无线电能传输技术与智能电力电子系统方向团队,全日制,"('专业：25(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(916)微机原理及应用三
1477,,统考,(013)自动化学院,(085400)(专业学位)电子信息,(03)智能自动化方向团队,全日制,"('专业：25(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(916)微机原理及应用三
1478,,统考,(013)自动化学院,(085400)(专业学位)电子信息,(04)复杂系统安全与控制团队,全日制,"('专业：25(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(916)微机原理及应用三
1479,,统考,(013)自动化学院,(085400)(专业学位)电子信息,(05)传感控制与先进集成技术方向团队,全日制,"('专业：25(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(916)微机原理及应用三
1480,,统考,(013)自动化学院,(085400)(专业学位)电子信息,(06)控制工程实践基地,全日制,"('专业：25(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(916)微机原理及应用三
1481,,统考,(014)计算机学院,(085400)(专业学位)电子信息,(01)计算智能与信息安全,全日制,"('专业：60(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(917)计算机专业基础综合（自命题）
1482,,统考,(014)计算机学院,(085400)(专业学位)电子信息,(02)机器学习与跨媒体感知,全日制,"('专业：60(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(917)计算机专业基础综合（自命题）
1483,,统考,(014)计算机学院,(085400)(专业学位)电子信息,(03)智能网络与先进计算,全日制,"('专业：60(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(917)计算机专业基础综合（自命题）
1484,,统考,(014)计算机学院,(085400)(专业学位)电子信息,(04)大数据智能与服务计算,全日制,"('专业：60(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(917)计算机专业基础综合（自命题）
1485,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(01)服务计算与软件服务工程,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1486,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(02)软件项目管理,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1487,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(03)智能穿戴与人机交互,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1488,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(04)嵌入式系统及软件,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1489,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(05)云计算技术及应用,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1490,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(06)大数据技术及应用,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1491,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(07)健康医疗大数据与智慧医疗,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1492,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(08)人工智能与机器学习,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1493,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(09)网络空间安全技术及应用,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1494,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(10)大数据安全与隐私保护,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1495,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(11)计算机视觉,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1496,,统考,(024)大数据与软件学院,(085400)(专业学位)电子信息,(12)移动互联网技术及应用,全日制,"('专业：26(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(877)C语言程序设计和数据库原理及应用
1498,四川大学,,,,,,,,,,
1499,,统考,(202)物理学院,(085400)(专业学位)电子信息,(01)电子与通信工程,全日制,"('专业：5(不含推免)',6",(101)思想政治理论,(204)英语二,(302)数学二,(951)信号与系统
